X.1,Freie Betten,Patienten (nicht COVID-19),COVID-19 Patienten (nicht beatmet),COVID-19 Patienten (beatmet)
2020-04-24,12815,16802,730,1971
2020-04-25,12922,16862,687,1883
2020-04-26,13183,16343,684,1857
2020-04-27,12789,16318,680,1729
2020-04-28,13057,16870,719,1748
2020-04-29,12895,17514,696,1719
2020-04-30,12792,17619,675,1605
2020-05-01,12560,17295,640,1549
2020-05-02,12777,17163,597,1508
2020-05-03,12803,16484,538,1441
2020-05-04,12738,16647,553,1396
2020-05-05,12816,17243,591,1346
2020-05-06,12266,17743,573,1311
2020-05-07,12255,17999,593,1230
2020-05-08,12037,17823,527,1185
2020-05-09,12096,18082,529,1121
2020-05-10,12265,17584,508,1073
2020-05-11,12356,17203,513,1063
2020-05-12,12143,17929,519,1020
2020-05-13,12127,18718,491,974
2020-05-14,12205,18968,437,892
2020-05-15,12076,19094,456,838
2020-05-16,12041,19295,382,821
2020-05-17,12292,18778,369,797
2020-05-18,12583,18317,386,747
2020-05-19,12205,18857,399,716
2020-05-20,11879,19327,373,672
2020-05-21,11951,19595,365,651
2020-05-22,12190,19096,368,597
2020-05-23,12320,19087,341,578
2020-05-24,12651,18623,327,562
2020-05-25,12635,18521,326,547
2020-05-26,12179,19403,296,525
2020-05-27,11883,19870,281,482
2020-05-28,11746,20027,293,451
2020-05-29,11755,19933,303,426
2020-05-30,11859,19833,299,421
2020-05-31,12300,19138,292,410
2020-06-01,12253,18639,292,385
2020-06-02,12294,18943,311,378
2020-06-03,11818,19885,272,360
2020-06-04,11450,20353,259,341
2020-06-05,11319,20443,256,339
2020-06-06,11538,20101,239,337
2020-06-07,11925,19409,238,330
2020-06-08,12055,18978,224,316
2020-06-09,11468,20087,213,320
2020-06-10,11272,20293,199,293
2020-06-11,11290,20246,181,281
2020-06-12,11607,19849,173,274
2020-06-13,11640,19625,178,262
2020-06-14,11884,19243,166,256
2020-06-15,11854,19075,163,262
2020-06-16,11339,19990,161,258
2020-06-17,10998,20307,154,252
2020-06-18,10932,20309,156,240
2020-06-19,10520,19863,149,227
2020-06-20,10264,18741,142,219
2020-06-21,10389,17564,144,198
2020-06-22,10289,17253,148,201
2020-06-23,9604,17627,143,194
2020-06-24,9436,17387,149,182
2020-06-25,11434,20713,164,196
2020-06-26,11221,20856,166,198
2020-06-27,11402,20651,157,188
2020-06-28,11831,20140,149,189
2020-06-29,12000,20055,149,183
2020-06-30,11505,20660,163,174
2020-07-01,11208,21077,159,170
2020-07-02,11113,21203,167,160
2020-07-03,11049,20994,157,161
2020-07-04,11494,20593,163,159
2020-07-05,12004,20020,149,149
2020-07-06,12025,19933,160,145
2020-07-07,11605,20669,154,144
2020-07-08,11298,20789,151,141
2020-07-09,11192,20813,142,133
2020-07-10,11090,20930,146,132
2020-07-11,11345,20796,125,127
2020-07-12,11787,20023,128,125
2020-07-13,11983,19923,134,130
2020-07-14,11352,20743,141,125
2020-07-15,11031,21241,128,120
2020-07-16,10981,21298,134,121
2020-07-17,11012,21322,131,118
2020-07-18,11261,20898,131,116
2020-07-19,11663,20286,133,116
2020-07-20,11729,20475,126,120
2020-07-21,11400,20983,132,122
2020-07-22,11259,21272,123,127
2020-07-23,11375,21350,112,127
2020-07-24,11260,21497,118,119
2020-07-25,11464,21158,123,126
2020-07-26,11903,20538,139,130
2020-07-27,12046,20463,128,133
2020-07-28,11568,21181,132,126
2020-07-29,11455,21504,131,130
2020-07-30,11669,21698,134,132
2020-07-31,11642,21428,140,125
2020-08-01,11852,21212,139,122
2020-08-02,12201,20643,143,129
2020-08-03,12244,20515,140,130
2020-08-04,8770,19943,101,129
2020-08-05,9048,21101,99,140
2020-08-06,9078,21213,105,131
2020-08-07,8980,21212,96,134
2020-08-08,9140,20942,96,135
2020-08-09,9497,20329,100,136
2020-08-10,9450,20551,98,132
2020-08-11,8828,21562,95,139
2020-08-12,8719,21484,87,137
2020-08-13,8563,21602,87,137
2020-08-14,8517,21732,97,133
2020-08-15,8732,21402,93,134
2020-08-16,9163,20825,90,134
2020-08-17,9242,20850,94,134
2020-08-18,8864,21474,92,135
2020-08-19,8737,21660,86,142
2020-08-20,8651,21780,94,137
2020-08-21,8638,21969,92,144
2020-08-22,8910,21305,93,140
2020-08-23,9332,20697,109,136
2020-08-24,9582,20534,113,132
2020-08-25,9038,21271,90,133
2020-08-26,8932,21604,95,133
2020-08-27,9032,21474,101,140
2020-08-28,8982,21461,96,140
2020-08-29,8994,21314,107,134
2020-08-30,9447,20806,114,131
2020-08-31,9587,20797,118,128
2020-09-01,9052,21438,103,132
2020-09-02,8946,21605,103,125
2020-09-03,8933,21609,96,127
2020-09-04,8961,21535,97,128
2020-09-05,8973,21381,97,126
2020-09-06,9516,20801,92,126
2020-09-07,9516,20860,94,134
2020-09-08,8888,21764,100,130
2020-09-09,8781,21650,94,133
2020-09-10,8683,21815,104,129
2020-09-11,8586,21894,101,119
2020-09-12,8843,21497,115,118
2020-09-13,9272,21026,113,123
2020-09-14,9523,20869,114,123
2020-09-15,8809,21600,107,129
