Landkreis/ kreisfreie Stadt,2020-05-11,2020-05-10,2020-05-09,2020-05-08,2020-05-07,2020-05-06,2020-05-05,2020-05-04,2020-05-03,2020-05-02,2020-05-01,2020-04-30,2020-04-29
Städteregion Aachen,1903,1903,1903,1903,1890,1890,1884,1884,1884,1884,1887,1863,1851
Bielefeld,387,387,387,387,386,379,379,379,379,379,379,375,375
Bochum,456,455,455,455,444,436,431,431,431,431,431,426,426
Bonn,688,686,686,680,677,672,667,667,667,662,650,648,639
Borken,936,919,920,910,906,895,893,891,886,886,882,880,880
Bottrop,178,177,177,175,175,175,168,155,155,155,149,147,145
Coesfeld,752,714,685,631,587,582,547,541,526,517,515,504,501
Dortmund,710,709,707,699,699,699,691,691,689,689,684,676,676
Duisburg,989,988,972,961,944,933,918,908,896,878,878,849,828
Düren,571,571,571,568,566,565,565,561,561,558,556,551,547
Düsseldorf,1184,1163,1163,1156,1147,1111,1089,1089,1074,1060,1042,1027,1017
Ennepe-Ruhr-Kreis,408,408,407,404,402,400,392,392,392,390,385,380,379
Essen,787,787,787,778,769,760,755,742,742,742,742,727,727
Euskirchen,407,407,407,394,394,380,370,370,370,370,357,349,346
Gelsenkirchen,357,357,357,354,347,345,342,342,338,338,336,336,332
Gütersloh,595,593,597,593,594,599,598,596,596,596,594,593,588
Hagen,302,302,296,281,280,272,267,261,261,261,255,249,249
Hamm,460,460,459,454,453,450,450,450,449,441,442,442,439
Heinsberg,1787,1787,1787,1784,1779,1771,1760,1755,1755,1755,1755,1746,1745
Herford,328,328,327,327,326,325,325,325,325,325,324,319,317
Herne,178,177,177,173,173,168,168,168,168,168,168,165,158
Hochsauerlandkreis,593,589,589,589,589,585,585,585,584,583,583,581,571
Höxter,317,315,315,312,310,307,305,305,302,301,296,284,283
Kleve,590,590,590,587,583,580,576,591,590,588,587,579,574
Köln,2378,2367,2341,2341,2341,2327,2321,2316,2312,2289,2289,2269,2251
Krefeld,555,551,543,543,538,531,527,503,503,503,503,495,484
Leverkusen,217,214,214,214,211,207,203,201,201,200,200,196,195
Lippe,738,738,738,733,729,730,728,712,712,710,710,706,702
Märkischer Kreis,582,582,576,573,571,565,564,564,563,562,559,557,550
Mettmann,887,887,886,877,875,873,866,867,866,859,859,842,819
Minden-Lübbecke,453,453,453,452,434,428,426,426,425,423,423,418,414
Mönchengladbach,536,534,527,516,516,505,500,499,497,495,486,483,479
Mülheim an der Ruhr,186,186,186,185,180,180,176,176,176,176,176,170,168
Münster,644,644,642,638,636,633,633,632,632,632,632,633,629
Oberbergischer Kreis,464,464,464,464,462,458,456,451,451,451,451,449,448
Oberhausen,245,244,243,243,233,228,228,225,215,194,191,188,177
Olpe,603,603,597,593,590,582,579,577,574,566,566,558,551
Paderborn,596,596,595,591,591,589,584,583,583,583,582,576,575
Recklinghausen,1187,1171,1161,1146,1130,1120,1116,1091,1091,1060,1060,1027,1024
Remscheid,223,223,223,221,219,216,214,213,213,213,213,213,213
Rhein-Erft-Kreis,1056,1044,1044,1028,1018,1010,999,994,988,984,970,959,954
Rheinisch-Bergischer Kreis,442,441,440,439,438,435,433,431,430,429,429,425,425
Rhein-Kreis Neuss,655,650,641,632,623,623,622,619,611,607,596,590,581
Rhein-Sieg-Kreis,1203,1201,1202,1199,1193,1187,1185,1182,1182,1167,1163,1146,1146
Siegen-Wittgenstein,303,303,299,290,290,290,290,290,289,288,287,278,278
Soest,355,352,352,352,351,351,351,351,344,344,343,342,341
Solingen,233,233,233,232,231,229,228,227,227,227,227,226,226
Steinfurt,1290,1290,1290,1277,1269,1257,1254,1249,1243,1233,1223,1246,1239
Unna,648,646,646,638,635,630,623,622,616,616,616,599,594
Viersen,678,678,668,666,662,658,652,649,649,645,627,616,606
Warendorf,476,476,475,474,473,472,471,471,467,465,463,458,456
Wesel,552,547,547,542,536,530,530,518,518,509,509,509,502
Wuppertal,866,856,856,850,838,838,828,827,813,813,813,802,794
Gesamt,35114,34946,34803,34504,34233,33961,33712,33545,33411,33200,33043,32672,32414
