,lat,lon,ort,bezeichnung,gemeindeschluessel,gemeindeschluessel_text
0,54.78499338,9.438528355,SK Flensburg,Kreisfreie Stadt,1001.0,01001
1,54.32484069,10.13224436,SK Kiel,Kreisfreie Stadt,1002.0,01002
2,53.87231673,10.72728311,SK Lübeck,Kreisfreie Stadt,1003.0,01003
3,54.08112444,9.984481955,SK Neumünster,Kreisfreie Stadt,1004.0,01004
4,54.13291096,9.107814479,LK Dithmarschen,Kreis,1051.0,01051
5,53.58900242,10.60185922,LK Herzogtum Lauenburg,Kreis,1053.0,01053
6,54.609564,8.886887793,LK Nordfriesland,Kreis,1054.0,01054
7,54.18964903,10.81942702,LK Ostholstein,Kreis,1055.0,01055
8,53.71808407,9.736866699999998,LK Pinneberg,Kreis,1056.0,01056
9,54.24338859,10.36369516,LK Plön,Kreis,1057.0,01057
10,54.28961574,9.781742068,LK Rendsburg-Eckernförde,Kreis,1058.0,01058
11,54.61901956,9.488709215,LK Schleswig-Flensburg,Kreis,1059.0,01059
12,53.91998574,10.14091472,LK Segeberg,Kreis,1060.0,01060
13,53.92894519,9.519381896,LK Steinburg,Kreis,1061.0,01061
14,53.72080057,10.33163988,LK Stormarn,Kreis,1062.0,01062
15,53.54637735,10.02079442,SK Hamburg,Kreisfreie Stadt,2000.0,02000
16,52.27522109,10.52410806,SK Braunschweig,Kreisfreie Stadt,3101.0,03101
17,52.12447444,10.37072623,SK Salzgitter,Kreisfreie Stadt,3102.0,03102
18,52.41074739,10.78487077,SK Wolfsburg,Kreisfreie Stadt,3103.0,03103
19,52.58025623,10.60417046,LK Gifhorn,Landkreis,3151.0,03151
20,51.87467716,10.40039267,LK Goslar,Landkreis,3153.0,03153
21,52.26074433,10.88883872,LK Helmstedt,Landkreis,3154.0,03154
22,51.74258733,9.848008931,LK Northeim,Landkreis,3155.0,03155
23,52.30419133,10.25528781,LK Peine,Landkreis,3157.0,03157
24,52.12699752,10.5839538,LK Wolfenbüttel,Landkreis,3158.0,03158
25,51.49893902,9.926235131,LK Göttingen,Landkreis,3159.0,03159
26,52.42193707,9.719799047999999,Region Hannover,Landkreis,3241.0,03241
27,52.72848578,8.701799136,LK Diepholz,Landkreis,3251.0,03251
28,52.09513819,9.389895452000001,LK Hameln-Pyrmont,Landkreis,3252.0,03252
29,52.090219,9.943480972,LK Hildesheim,Landkreis,3254.0,03254
30,51.88063258,9.55140269,LK Holzminden,Landkreis,3255.0,03255
31,52.60922281,9.114312927,LK Nienburg (Weser),Landkreis,3256.0,03256
32,52.29279233,9.206561905,LK Schaumburg,Landkreis,3257.0,03257
33,52.71334323,10.10356616,LK Celle,Landkreis,3351.0,03351
34,53.6165865,8.812382372,LK Cuxhaven,Landkreis,3352.0,03352
35,53.31577342,9.962738847999999,LK Harburg,Landkreis,3353.0,03353
36,53.01987172,11.12291989,LK Lüchow-Dannenberg,Landkreis,3354.0,03354
37,53.23257535,10.57325692,LK Lüneburg,Landkreis,3355.0,03355
38,53.25100673,8.808080932000001,LK Osterholz,Landkreis,3356.0,03356
39,53.25075839,9.306584838,LK Rotenburg (Wümme),Landkreis,3357.0,03357
40,52.92833009,9.769411359,LK Heidekreis,Landkreis,3358.0,03358
41,53.57897623,9.41807039,LK Stade,Landkreis,3359.0,03359
42,52.98363494,10.54758105,LK Uelzen,Landkreis,3360.0,03360
43,52.97323565,9.1754645,LK Verden,Landkreis,3361.0,03361
44,53.0494044,8.645682931,SK Delmenhorst,Kreisfreie Stadt,3401.0,03401
45,53.36067907,7.181584115,SK Emden,Kreisfreie Stadt,3402.0,03402
46,53.14457817,8.224359039,SK Oldenburg,Kreisfreie Stadt,3403.0,03403
47,52.27767982,8.04703291,SK Osnabrück,Kreisfreie Stadt,3404.0,03404
48,53.56594481,8.086204629,SK Wilhelmshaven,Kreisfreie Stadt,3405.0,03405
49,53.21848817,8.013262266,LK Ammerland,Landkreis,3451.0,03451
50,53.49643077,7.368089581,LK Aurich,Landkreis,3452.0,03452
51,52.91102902,7.9047139379999996,LK Cloppenburg,Landkreis,3453.0,03453
52,52.73829702,7.402688652,LK Emsland,Landkreis,3454.0,03454
53,53.51036297,7.9832474620000005,LK Friesland,Landkreis,3455.0,03455
54,52.47605341,7.019856762000001,LK Grafschaft Bentheim,Landkreis,3456.0,03456
55,53.24354174,7.469761641,LK Leer,Landkreis,3457.0,03457
