lat,lon,ort,bezeichnung,gemeindeschluessel
54.78499338,9.438528355,SK Flensburg,Kreisfreie Stadt,1001
54.32484069,10.13224436,SK Kiel,Kreisfreie Stadt,1002
53.87231673,10.72728311,SK Lübeck,Kreisfreie Stadt,1003
54.08112444,9.984481955,SK Neumünster,Kreisfreie Stadt,1004
54.13291096,9.107814479,LK Dithmarschen,Kreis,1051
53.58900242,10.60185922,LK Herzogtum Lauenburg,Kreis,1053
54.609564,8.886887793,LK Nordfriesland,Kreis,1054
54.18964903,10.81942702,LK Ostholstein,Kreis,1055
53.71808407,9.7368667,LK Pinneberg,Kreis,1056
54.24338859,10.36369516,LK Plön,Kreis,1057
54.28961574,9.781742068,LK Rendsburg-Eckernförde,Kreis,1058
54.61901956,9.488709215,LK Schleswig-Flensburg,Kreis,1059
53.91998574,10.14091472,LK Segeberg,Kreis,1060
53.92894519,9.519381896,LK Steinburg,Kreis,1061
53.72080057,10.33163988,LK Stormarn,Kreis,1062
53.54637735,10.02079442,SK Hamburg,Kreisfreie Stadt,2000
52.27522109,10.52410806,SK Braunschweig,Kreisfreie Stadt,3101
52.12447444,10.37072623,SK Salzgitter,Kreisfreie Stadt,3102
52.41074739,10.78487077,SK Wolfsburg,Kreisfreie Stadt,3103
52.58025623,10.60417046,LK Gifhorn,Landkreis,3151
51.87467716,10.40039267,LK Goslar,Landkreis,3153
52.26074433,10.88883872,LK Helmstedt,Landkreis,3154
51.74258733,9.848008931,LK Northeim,Landkreis,3155
52.30419133,10.25528781,LK Peine,Landkreis,3157
52.12699752,10.5839538,LK Wolfenbüttel,Landkreis,3158
51.49893902,9.926235131,LK Göttingen,Landkreis,3159
52.42193707,9.719799048,Region Hannover,Landkreis,3241
52.72848578,8.701799136,LK Diepholz,Landkreis,3251
52.09513819,9.389895452,LK Hameln-Pyrmont,Landkreis,3252
52.090219,9.943480972,LK Hildesheim,Landkreis,3254
51.88063258,9.55140269,LK Holzminden,Landkreis,3255
52.60922281,9.114312927,LK Nienburg (Weser),Landkreis,3256
52.29279233,9.206561905,LK Schaumburg,Landkreis,3257
52.71334323,10.10356616,LK Celle,Landkreis,3351
53.6165865,8.812382372,LK Cuxhaven,Landkreis,3352
53.31577342,9.962738848,LK Harburg,Landkreis,3353
53.01987172,11.12291989,LK Lüchow-Dannenberg,Landkreis,3354
53.23257535,10.57325692,LK Lüneburg,Landkreis,3355
53.25100673,8.808080932,LK Osterholz,Landkreis,3356
53.25075839,9.306584838,LK Rotenburg (Wümme),Landkreis,3357
52.92833009,9.769411359,LK Heidekreis,Landkreis,3358
53.57897623,9.41807039,LK Stade,Landkreis,3359
52.98363494,10.54758105,LK Uelzen,Landkreis,3360
52.97323565,9.1754645,LK Verden,Landkreis,3361
53.0494044,8.645682931,SK Delmenhorst,Kreisfreie Stadt,3401
53.36067907,7.181584115,SK Emden,Kreisfreie Stadt,3402
53.14457817,8.224359039,SK Oldenburg,Kreisfreie Stadt,3403
52.27767982,8.04703291,SK Osnabrück,Kreisfreie Stadt,3404
53.56594481,8.086204629,SK Wilhelmshaven,Kreisfreie Stadt,3405
53.21848817,8.013262266,LK Ammerland,Landkreis,3451
53.49643077,7.368089581,LK Aurich,Landkreis,3452
52.91102902,7.904713938,LK Cloppenburg,Landkreis,3453
52.73829702,7.402688652,LK Emsland,Landkreis,3454
53.51036297,7.983247462,LK Friesland,Landkreis,3455
52.47605341,7.019856762,LK Grafschaft Bentheim,Landkreis,3456
53.24354174,7.469761641,LK Leer,Landkreis,3457
52.98807691,8.389396566,LK Oldenburg,Landkreis,3458
52.38161392,8.045157342,LK Osnabrück,Landkreis,3459
52.66029015,8.223057943,LK Vechta,Landkreis,3460
53.35764176,8.388646231,LK Wesermarsch,Landkreis,3461
53.57341374,7.706123551,LK Wittmund,Landkreis,3462
53.11954347,8.780493747,SK Bremen,Kreisfreie Stadt,4011
53.53816629,8.588505224,SK Bremerhaven,Kreisfreie Stadt,4012
51.23545696,6.810202624,SK Düsseldorf,Kreisfreie Stadt,5111
51.43961577,6.73469185,SK Duisburg,Kreisfreie Stadt,5112
51.43383277,7.017153916,SK Essen,Kreisfreie Stadt,5113
51.34521914,6.579668006,SK Krefeld,Kreisfreie Stadt,5114
51.1671936,6.411974474,SK Mönchengladbach,Kreisfreie Stadt,5116
51.41378149,6.878461621,SK Mülheim a.d.Ruhr,Kreisfreie Stadt,5117
51.51313135,6.847120498,SK Oberhausen,Kreisfreie Stadt,5119
51.1826933,7.224115652,SK Remscheid,Kreisfreie Stadt,5120
51.16245516,7.066069733,SK Solingen,Kreisfreie Stadt,5122
51.25060361,7.168930082,SK Wuppertal,Kreisfreie Stadt,5124
51.65236313,6.258809085,LK Kleve,Kreis,5154
51.25710435,6.969065183,LK Mettmann,Kreis,5158
51.14357124,6.649323167,LK Rhein-Kreis Neuss,Kreis,5162
51.28282024,6.326120513,LK Viersen,Kreis,5166
51.62704254,6.618362629,LK Wesel,Kreis,5170
50.70573462,7.10983941,SK Bonn,Kreisfreie Stadt,5314
50.94566688,6.973218552,SK Köln,Kreisfreie Stadt,5315
51.05306626,7.015474111,SK Leverkusen,Kreisfreie Stadt,5316
50.72750461,6.216727218,StadtRegion Aachen,Kreis,5334
50.81789505,6.44556161,LK Düren,Kreis,5358
50.90493303,6.716491019,LK Rhein-Erft-Kreis,Kreis,5362
50.53647317,6.644151912,LK Euskirchen,Kreis,5366
51.04934891,6.164112924,LK Heinsberg,Kreis,5370
51.0127092,7.516628817,LK Oberbergischer Kreis,Kreis,5374
51.02300443,7.194846538,LK Rheinisch-Bergischer Kreis,Kreis,5378
50.76063891,7.234573028,LK Rhein-Sieg-Kreis,Kreis,5382
51.57169383,6.920116178,SK Bottrop,Kreisfreie Stadt,5512
51.55395642,7.071240238,SK Gelsenkirchen,Kreisfreie Stadt,5513
51.95431679,7.623646795,SK Münster,Kreisfreie Stadt,5515
51.96131984,6.899615612,LK Borken,Kreis,5554
51.86685104,7.366012233,LK Coesfeld,Kreis,5558
51.67248392,7.159248939,LK Recklinghausen,Kreis,5562
52.21153668,7.579446713,LK Steinfurt,Kreis,5566
51.87022279,7.958294933,LK Warendorf,Kreis,5570
52.01094862,8.540743897,SK Bielefeld,Kreisfreie Stadt,5711
51.93170893,8.351386053,LK Gütersloh,Kreis,5754
52.16757781,8.643931639,LK Herford,Kreis,5758
51.68494074,9.178091498,LK Höxter,Kreis,5762
51.98142265,8.950837273,LK Lippe,Kreis,5766
52.3524755,8.739348393,LK Minden-Lübbecke,Kreis,5770
51.66417546,8.719635033,LK Paderborn,Kreis,5774
51.46992737,7.224935232,SK Bochum,Kreisfreie Stadt,5911
51.51607757,7.474900905,SK Dortmund,Kreisfreie Stadt,5913
51.34804507,7.497555538,SK Hagen,Kreisfreie Stadt,5914
51.6651744,7.823586193,SK Hamm,Kreisfreie Stadt,5915
